Wavelength (nm);Optical Density;% Transmission
811;5.852234;0.000140529
812;5.826882;0.000148977
813;5.746697;0.000179186
814;5.914909;0.000121644
815;5.904972;0.000124459
816;5.784949;0.000164078
817;5.846779;0.000142305
818;5.870047;0.000134882
819;5.928325;0.000117944
820;5.860876;0.00013776
821;5.852186;0.000140545
822;5.96785;0.000107684
823;5.948728;0.000112531
824;5.949507;0.000112329
825;5.920778;0.000120011
826;5.853703;0.000140054
827;5.971095;0.000106882
828;5.853389;0.000140156
829;5.841463;0.000144058
830;5.765732;0.000171502
831;5.795763;0.000160043
832;5.785309;0.000163942
833;5.82106;0.000150987
834;5.826457;0.000149122
835;5.860799;0.000137785
836;5.729255;0.000186528
837;5.778044;0.000166708
838;5.85037;0.000141133
839;5.768405;0.000170449
840;5.847206;0.000142165
841;5.80811;0.000155557
842;5.815793;0.000152829
843;5.788781;0.000162637
844;5.852988;0.000140285
845;5.898816;0.000126236
846;5.70521;0.000197147
847;5.786753;0.000163398
848;5.784476;0.000164257
849;5.934695;0.000116226
850;5.767979;0.000170616
851;5.840474;0.000144386
852;5.956681;0.000110489
853;6.03343;9.25913E-05
854;5.710201;0.000194894
855;5.8893644;0.000129014
856;5.7957346;0.000160054
857;5.762288;0.000172867
858;5.7185968;0.000191163
859;5.62255625;0.000238475
860;5.70602275;0.000196778
861;5.752936667;0.00017663
862;5.8147025;0.000153214
863;5.905280667;0.000124371
864;5.8464018;0.000142429
865;5.838722333;0.00014497
866;5.838722333;0.00014497
867;5.538855667;0.000289164
868;5.65414175;0.000221747
869;5.538855667;0.000289164
870;5.47154875;0.000337638
871;5.4198775;0.000380297
872;5.6447775;0.00022658
873;5.5236405;0.000299474
874;5.6189124;0.000240485
875;5.6053938;0.000248088
876;5.7434974;0.000180511
877;5.590586;0.000256693
878;5.6874956;0.000205355
879;5.5296434;0.000295363
880;5.6892364;0.000204533
881;5.540683;0.00028795
882;5.6935944;0.000202491
883;5.5719344;0.000267957
