Wavelength (nm);Optical Density;% Transmission
1300;0.83326;14.68047136
1299;0.969716;10.72220237
1298;1.077788;8.360110158
1297;1.171573;6.736386549
1296;1.261165;5.480686995
1295;1.346821;4.499652756
1294;1.433725;3.683621507
1293;1.524091;2.991637717
1292;1.607166;2.470779561
1291;1.683676;2.071686328
1290;1.76649;1.712024597
1289;1.824523;1.497879924
1288;1.870109;1.34862436
1287;1.921429;1.198315012
1286;1.971983;1.066637873
1285;2.070502;0.850154778
1284;2.177633;0.664304203
1283;2.29177;0.510775432
1282;2.417848;0.382077972
1281;2.529386;0.295538456
1280;2.623975;0.237697711
1279;2.716846;0.191934922
1278;2.797863;0.159271108
1277;2.878976;0.132136865
1276;2.959171;0.10985732
1275;3.030997;0.093111431
1274;3.102589;0.078960702
1273;3.204522;0.062442172
1272;3.275307;0.05305093
1271;3.344699;0.045216922
1270;3.41164;0.038757879
1269;3.467332;0.034093218
1268;3.504455;0.031300048
1267;3.5579;0.027675788
1266;3.616715;0.024170465
1265;3.679928;0.020896425
1264;3.74061;0.018171467
1263;3.795014;0.016031937
1262;3.845607;0.014268982
1261;3.880001;0.013182537
1260;3.92095;0.011996374
1259;3.976843;0.010547681
1258;4.016476;0.009627732
1257;4.059847;0.008712705
1256;4.10471;0.007857602
1255;4.138911;0.007262548
1254;4.178245;0.006633687
1253;4.202284;0.006276478
1252;4.25612;0.005544725
1251;4.298968;0.005023796
1250;4.344152;0.004527391
1249;4.385055;0.004120453
1248;4.43658;0.003659485
1247;4.471461;0.003377062
1246;4.494323;0.003203886
1245;4.52135;0.003010579
1244;4.589697;0.00257219
1243;4.62424;0.002375527
1242;4.659421;0.00219068
1241;4.689453;0.002044311
1240;4.749265;0.001781292
1239;4.838681;0.001449836
1238;4.857511;0.001388318
1237;4.905574;0.001242871
1236;4.889595;0.001289451
1235;4.939491;0.0011495
1234;4.951981;0.001116912
1233;5.057271;0.000876454
1232;5.109892;0.00077644
1231;5.17135;0.000673985
1230;5.233676;0.000583881
1229;5.185319;0.000652651
1228;5.226795;0.000593205
1227;5.320819;0.000477728
1226;5.307237;0.000492905
1225;5.366644;0.000429889
1224;5.31869;0.000480076
1223;5.376198;0.000420535
1222;5.536926;0.000290452
1221;5.515173;0.00030537
1220;5.573351;0.000267085
1219;5.518421;0.000303095
1218;5.391753;0.000405739
1217;5.497575;0.000317998
1216;5.614738;0.000242807
1215;5.673091;0.00021228
1214;5.861856;0.00013745
1213;5.916012;0.000121336
1212;5.678981;0.00020942
1211;5.662427;0.000217557
1210;5.656769;0.00022041
1209;5.706534;0.000196547
1208;5.949023;0.000112455
1207;5.668248;0.00021466
1206;5.648667;0.00022456
1205;5.653941;0.00022185
1204;5.757981;0.00017459
1203;5.966285;0.000108072
1202;5.941359;0.000114457
1201;5.952575;0.000111539
1200;6.037914;9.16402E-05
1199;6.011358;9.74186E-05
1198;6.097624;7.98686E-05
1197;5.764475;0.000171999
1196;5.875171;0.0001333
1195;5.813009;0.000153812
1194;5.910316;0.000122937
1193;6.939624;1.14915E-05
1192;6.491887556;3.2219E-05
1191;6.531951556;2.93798E-05
1190;7.549896;2.81906E-06
1189;6.238972;5.76804E-05
1188;6.548967778;2.82509E-05
1187;6.235747;5.81103E-05
1186;6.611378;2.44693E-05
1185;6.030385;9.32427E-05
1184;6.174332;6.69373E-05
1183;6.274685;5.3127E-05
1182;5.749156;0.000178174
1181;6.016709;9.62257E-05
1180;5.911409;0.000122628
1179;6.207706;6.19861E-05
1178;6.01046;9.76203E-05
1177;6.491901;3.2218E-05
1176;6.435504;3.66856E-05
1175;6.071962;8.47302E-05
1174;6.363726111;4.32787E-05
1173;6.112388;7.71991E-05
1172;6.371585;4.25026E-05
1171;6.322958;4.75381E-05
1170;6.756777;1.75075E-05
1169;6.7088;1.95524E-05
1168;6.02585;9.42215E-05
1167;6.0789;8.33873E-05
1166;6.740397;1.81804E-05
1165;6.227834;5.91788E-05
1164;6.081821;8.28283E-05
1163;6.360981;4.35531E-05
1162;6.096611;8.00551E-05
1161;6.334957;4.62427E-05
1160;6.474174;3.35603E-05
1159;6.16985;6.76317E-05
1158;6.745273;1.79774E-05
1157;7.071697;8.47819E-06
1156;6.009504;9.78354E-05
1155;6.412365;3.86932E-05
1154;6.599246111;2.51625E-05
1153;6.792027;1.61426E-05
1152;6.196612;6.35899E-05
1151;7.197768;6.34208E-06
1150;6.267969;5.39549E-05
1149;6.695101556;2.01789E-05
1148;6.684876333;2.06597E-05
1147;7.555195;2.78487E-06
1146;6.408134;3.9072E-05
1145;6.438209;3.64578E-05
1144;6.777935667;1.66749E-05
1143;6.725502111;1.88147E-05
1142;6.562661778;2.7374E-05
1141;6.595091333;2.54044E-05
1140;7.099883;7.94542E-06
1139;6.228098;5.91428E-05
1138;6.089632;8.1352E-05
1137;6.384230111;4.12829E-05
1136;6.318034889;4.80801E-05
1135;6.102931;7.88985E-05
1134;5.903991;0.000124741
1133;5.933536;0.000116537
1132;6.104243;7.86606E-05
1131;6.561015;2.7478E-05
1130;6.202151444;6.27839E-05
1129;6.645337;2.26289E-05
1128;5.730637;0.000185936
1127;5.774181;0.000168197
1126;6.466423;3.41647E-05
1125;6.081128;8.29606E-05
1124;5.986302;0.000103204
1123;5.997353;0.000100611
1122;6.371017111;4.25582E-05
1121;6.308204111;4.91808E-05
1120;6.713494;1.93422E-05
1119;6.332278333;4.65288E-05
1118;5.994454;0.000101285
1117;5.901106;0.000125572
1116;6.106046;7.83347E-05
1115;6.178052;6.63664E-05
1114;6.15762;6.95633E-05
1113;6.161954;6.88725E-05
1112;6.287792;5.15475E-05
1111;5.846148;0.000142512
1110;5.704982;0.00019725
1109;6.03346;9.25849E-05
1108;7.124102;7.51446E-06
1107;7.251088;5.60934E-06
1106;6.286389;5.17143E-05
1105;5.849606;0.000141382
1104;6.139138;7.25875E-05
1103;6.457373111;3.4884E-05
1102;6.413249889;3.86145E-05
1101;6.532983;2.93101E-05
1100;6.283;5.21195E-05
1099;6.374154;4.22519E-05
1098;6.853979;1.39966E-05
1097;6.650071333;2.23835E-05
1096;6.668628778;2.14472E-05
1095;6.714962111;1.92769E-05
1094;7.07771;8.36161E-06
1093;6.628816;2.35063E-05
1092;6.657668222;2.19954E-05
1091;6.624446222;2.3744E-05
1090;6.652754111;2.22457E-05
1089;6.682448556;2.07755E-05
1088;6.012488;9.71655E-05
1087;6.401002;3.9719E-05
1086;6.954771;1.10976E-05
1085;7.34496;4.51898E-06
1084;6.759380111;1.74028E-05
1083;6.297082;5.04566E-05
1082;6.868992333;1.3521E-05
1081;6.840684444;1.44316E-05
1080;7.724118;1.88748E-06
1079;6.769022222;1.70207E-05
1078;6.813790889;1.53536E-05
1077;6.813790889;1.53536E-05
1076;6.813790889;1.53536E-05
1075;6.659227111;2.19166E-05
1074;6.613406778;2.43553E-05
1073;6.613406778;2.43553E-05
1072;6.613406778;2.43553E-05
1071;6.333044;4.64468E-05
1070;6.287617;5.15683E-05
1069;6.694682222;2.01984E-05
1068;6.694682222;2.01984E-05
1067;6.868135;1.35477E-05
1066;7.263344;5.45326E-06
1065;6.678023667;2.09883E-05
1064;6.678005778;2.09891E-05
1063;6.678005778;2.09891E-05
1062;6.659324111;2.19117E-05
1061;5.770734;0.000169538
1060;6.699839;1.996E-05
1059;6.411492;3.87711E-05
1058;6.411492;3.87711E-05
1057;6.060561;8.69839E-05
1056;6.230714;5.87876E-05
1055;6.14158;7.21805E-05
1054;6.448263222;3.56235E-05
1053;6.364938889;4.3158E-05
1052;6.506883556;3.11255E-05
1051;6.559026444;2.76041E-05
1050;6.101514;7.91564E-05
1049;5.950081;0.000112181
1048;7.338063;4.59131E-06
1047;6.511508778;3.07958E-05
1046;5.936725;0.000115684
1045;6.23171;5.8653E-05
1044;6.778747;1.66438E-05
1043;6.866739;1.35913E-05
1042;6.404941556;3.93603E-05
1041;6.489749889;3.2378E-05
1040;6.541782111;2.87222E-05
1039;6.018927;9.57355E-05
1038;5.711626;0.000194256
1037;6.443552444;3.6012E-05
1036;6.364341667;4.32174E-05
1035;6.327375444;4.7057E-05
1034;6.403050222;3.95321E-05
1033;6.061419;8.68122E-05
1032;5.987103;0.000103014
1031;6.367304;4.29236E-05
1030;6.318797333;4.79957E-05
1029;6.240720222;5.74486E-05
1028;6.080508;8.30791E-05
1027;6.137195;7.2913E-05
1026;6.135647;7.31734E-05
1025;5.997306;0.000100622
1024;6.248416667;5.64395E-05
1023;6.317249111;4.81671E-05
