Wavelength (nm);Optical Density;% Transmission
200;6.066535;8.57956E-05
201;6.145705;7.14982E-05
202;5.999098;0.000100208
203;5.975513;0.0001058
204;5.989249;0.000102506
205;5.966284;0.000108073
206;6.043522;9.04645E-05
207;6.137889;7.27966E-05
208;5.988771;0.000102619
209;5.944011;0.00011376
210;5.988339;0.000102721
211;5.992801;0.000101671
212;5.978669;0.000105034
213;5.95192;0.000111707
214;5.951581;0.000111794
215;5.982549;0.0001041
216;6.011116;9.74729E-05
217;5.977818;0.00010524
218;5.94671;0.000113055
219;5.972892;0.000106441
220;5.925856;0.000118616
221;5.929972;0.000117497
222;5.942417;0.000114178
223;5.922022;0.000119668
224;5.996649;0.000100775
225;5.992255;0.000101799
226;5.983396;0.000103897
227;5.948396;0.000112617
228;5.927886;0.000118063
229;5.916186;0.000121287
230;5.953509;0.000111299
231;5.958171;0.000110111
232;5.924975;0.000118857
233;5.949922;0.000112222
234;5.898215;0.000126411
235;5.913869;0.000121936
236;5.963603;0.000108742
237;5.963614;0.000108739
238;5.977005;0.000105437
239;5.959167;0.000109858
240;5.925836;0.000118622
241;5.902484;0.000125175
242;5.887528;0.00012956
243;5.894836;0.000127398
244;5.891215;0.000128465
245;5.880285;0.000131739
246;5.902597;0.000125142
247;5.938479;0.000115218
248;5.918479;0.000120648
249;5.930721;0.000117295
250;5.903315;0.000124935
251;5.877515;0.000132582
252;5.899818;0.000125945
253;5.888832;0.000129172
254;5.874601;0.000133475
255;5.892977;0.000127945
256;5.885773;0.000130085
257;5.912317;0.000122372
258;5.936423;0.000115765
259;5.904832;0.0001245
260;5.944673;0.000113587
261;6.002656;9.93903E-05
262;5.961638;0.000109235
263;5.92419;0.000119072
264;5.916296;0.000121256
265;5.908398;0.000123482
266;5.864263;0.00013669
267;5.843649;0.000143335
268;5.878138;0.000132392
269;5.907759;0.000123663
270;5.903744;0.000124812
271;5.899961;0.000125904
272;5.903781;0.000124801
273;5.870662;0.000134691
274;5.892408;0.000128113
275;5.903968;0.000124748
276;5.867662;0.000135624
277;5.850569;0.000141069
278;5.860842;0.000137771
279;5.874865;0.000133394
280;5.912153;0.000122418
281;5.893516;0.000127786
282;5.897384;0.000126653
283;5.916662;0.000121154
284;5.905289;0.000124369
285;5.89415;0.0001276
286;5.872689;0.000134064
287;5.883543;0.000130755
288;5.880134;0.000131785
289;5.88766;0.000129521
290;5.914282;0.00012182
291;5.863343;0.00013698
292;5.856542;0.000139142
293;5.914753;0.000121688
294;5.899826;0.000125943
295;5.864012;0.000136769
296;5.8963;0.00012697
297;5.885526;0.000130159
298;5.904273;0.00012466
299;5.939809;0.000114866
300;5.95678;0.000110464
301;5.928155;0.00011799
