Wavelength (nm);Optical Density;% Transmission
623;4.54481;0.002852266
624;3.893538;0.012777974
625;3.052458;0.088622092
626;1.977555;1.053040319
627;1.137862;7.280110982
628;0.499083;31.6896177
629;0.172043;67.29100274
630;0.041151;90.95969596
631;0.011036;97.49088212
632;0.008269;98.11400412
633;0.007569;98.27227272
634;0.008356;98.09435141
635;0.009405;97.85769908
636;0.00973;97.78449563
637;0.024749;94.46066529
638;0.114431;76.8367523
639;0.368758;42.78012015
640;1.882734;7.251752945
641;2.878467;0.670403079
642;3.773644;0.101661146
643;4.729865;0.020767681
644;5.378898;0.004589348
645;5.664376;0.000733245
646;5.807349;0.000207405
647;5.865522;0.000136294
648;5.932528;0.000116808
649;5.925266;0.000118777
650;5.921764;0.000119739
651;6.020504;9.53885E-05
652;6.057529;8.75933E-05
653;5.962699;0.000108969
654;5.958957;0.000109911
655;5.92568;0.000118664
656;5.94014;0.000114778
657;6.016371;9.63006E-05
658;6.067586;8.55882E-05
659;6.057875;8.75236E-05
660;6.030011;9.33231E-05
661;5.947845;0.00011276
662;5.918951;0.000120517
663;6.048806;8.93705E-05
664;6.088386;8.15857E-05
665;6.058411;8.74156E-05
666;6.083123;8.25804E-05
667;6.012776;9.71011E-05
668;5.955976;0.000110668
669;5.975384;0.000105832
670;5.979431;0.00010485
671;5.959897;0.000109674
672;5.991801;0.000101906
673;6.13223;7.37514E-05
674;6.200155;6.30732E-05
675;6.083679;8.24747E-05
676;6.008937;9.79632E-05
677;5.976026;0.000105675
678;6.01349;9.69416E-05
679;6.040369;9.11236E-05
680;5.980121;0.000104684
681;6.005062;9.88412E-05
682;6.045261;9.01029E-05
683;5.996721;0.000100758
684;6.018057;9.59275E-05
685;6.100016;7.94299E-05
686;6.03174;9.29523E-05
687;6.018508;9.58279E-05
688;6.100288;7.93802E-05
689;6.055131;8.80783E-05
690;5.992933;0.000101641
691;6.050381;8.90469E-05
692;5.976842;0.000105477
693;6.018806;9.57622E-05
694;6.036964;9.18409E-05
695;5.961717;0.000109215
696;5.985384;0.000103423
697;6.050989;8.89224E-05
698;6.032674;9.27526E-05
699;6.051298;8.88591E-05
700;6.070599;8.49965E-05
701;6.05602;8.78982E-05
702;6.015254;9.65486E-05
703;6.015422;9.65113E-05
704;6.006996;9.8402E-05
705;6.038054;9.16107E-05
706;6.007081;9.83828E-05
707;6.061403;8.68154E-05
708;6.003002;9.93111E-05
709;5.998901;0.000100253
710;6.066551;8.57924E-05
711;6.04759;8.9621E-05
712;6.007669;9.82496E-05
713;5.971147;0.000106869
714;6.0343;9.2406E-05
715;6.062328;8.66307E-05
716;6.048284;8.94779E-05
717;6.021272;9.522E-05
718;5.926885;0.000118335
719;6.034513;9.23607E-05
720;6.052941;8.85236E-05
721;6.057913;8.75159E-05
722;6.017328;9.60886E-05
723;5.996171;0.000100886
724;5.996401;0.000100832
725;6.004727;9.89175E-05
726;6.013516;9.69358E-05
727;5.927966;0.000118041
728;6.005004;9.88544E-05
729;5.938858;0.000115118
730;5.931864;0.000116987
731;5.969053;0.000107386
732;5.932064;0.000116933
733;5.884966;0.000130327
734;5.898214;0.000126411
735;5.918666;0.000120596
736;5.911721;0.00012254
